Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2013,Volkswagen,Polo ,1.0l,Petrol,Manual,KA-03,₹2.88 lakh
2016,Maruti,Swift ,71.38k,Petrol,Manual,KA-41,₹4.13 lakh
2013,Maruti,Alto K10,1.2l,Petrol,Manual,KA-40,₹1.51 lakh
2014,Ford,Figo ,1.1l,Petrol,Manual,KA-04,₹2.20 lakh
2017,Tata,Tiago ,1.1l,CNG,Auto,KA-63,₹3.35 lakh
2016,Ford, Figo,57.42k,Petrol,Manual,KA-05,₹3.29 lakh
2019,Renault,Kwid ,70.98k,Petrol,Manual,KA-51,₹2.77 lakh
2020,Hyundai,Grand i10,26.84k,Petrol,Manual,KA-41,₹4.81 lakh
2018,Hyundai,Elite i20,23.93k,Petrol,Auto,KA-53,₹5.13 lakh
2022,Hyundai,GRAND I10,45.64k,CNG,Manual,KA-09,₹5.55 lakh
2014,Hyundai,i10 ,65.85k,Petrol,Manual,KA-09,₹2.23 lakh
2019,Hyundai, SANTRO,36.92k,Petrol,Manual,KA-01,₹3.14 lakh
2017,Datsun,Redi Go,1.0l,Petrol,Manual,KA-05,₹1.71 lakh
2015,Hyundai,Grand i10,92.20k,Petrol,Manual,KA-15,₹3.05 lakh
2013,Maruti,Ritz ,29.73k,Petrol,Manual,KA-03,₹3.10 lakh
2017,Maruti,Alto K10,40.24k,Petrol,Manual,KA-41,₹2.38 lakh
2016,Maruti,Celerio ,53.80k,Petrol,Auto,KA-03,₹2.90 lakh
2024,Maruti,Celerio ,19.32k,Petrol,Auto,KA-01,₹5.79 lakh
2021,Maruti,Baleno ,21.54k,Petrol,Manual,KA-03,₹6.56 lakh
2015,Maruti,Alto K10,75.23k,Petrol,Auto,KA-41,₹2.20 lakh
2016,Hyundai,i20 Active,89.43k,Petrol,Manual,KA-03,₹4.40 lakh
2016,Hyundai,i20 Active,91.32k,Petrol,Manual,KA-01,₹4.85 lakh
2019,Hyundai,Grand i10,40.66k,Petrol,Auto,KA-01,₹4.28 lakh
2024,Maruti, Wagon-R,771,Petrol,Manual,KA-04,₹5.29 lakh
2012,Maruti,Ritz ,65.55k,CNG,Manual,KA-01,₹2.48 lakh
2016,Hyundai,Grand i10,54.87k,Petrol,Manual,KA-03,₹3.94 lakh
2018,Maruti,Swift ,1.1l,Petrol,Manual,KA-01,₹4.55 lakh
2013,Toyota,Etios Liva,17.28k,Petrol,Manual,KA-04,₹3.35 lakh
2019,Hyundai,Elite i20,49.14k,Petrol,Manual,KA-02,₹5.98 lakh
2014,Renault,Pulse ,28.16k,Petrol,Manual,KA-01,₹2.15 lakh
2014,Nissan,Micra ,1.0l,Petrol,Auto,KA-51,₹2.77 lakh
2021,Maruti,Swift ,22.02k,Petrol,Auto,KA-41,₹6.11 lakh
2018,Maruti,Wagon R,23.31k,Petrol,Auto,KA-17,₹3.61 lakh
2015,Maruti,Alto K10,35.16k,Petrol,Manual,KA-51,₹2.75 lakh
2013,Hyundai,Eon ,66.42k,Petrol,Manual,KA-51,₹1.70 lakh
2018,Hyundai,Elite i20,95.77k,Petrol,Manual,KA-19,₹5.19 lakh
2016,Hyundai,i10 ,43.25k,Petrol,Manual,KA-01,₹2.63 lakh
2021,Maruti,Baleno ,24.12k,Petrol,Auto,KA-51,₹6.28 lakh
2013,Honda,Brio ,86.10k,Petrol,Manual,KA-01,₹2.24 lakh
2018,Maruti,Wagon R,10.91k,Petrol,Auto,KA-04,₹3.69 lakh
2017,Renault,Kwid ,62.21k,Petrol,Auto,KA-53,₹2.73 lakh
2014,Hyundai,Elite i20,1.1l,Petrol,Manual,KA-13,₹4.16 lakh
2017,Hyundai,Elite i20,1.1l,Petrol,Manual,KA-25,₹4.77 lakh
2017,Hyundai,Elite i20,67.17k,Petrol,Manual,KA-03,₹5.77 lakh
2018,Maruti,Baleno ,98.71k,Petrol,Auto,KA-03,₹4.97 lakh
2018,Hyundai,Eon ,15.52k,Petrol,Manual,KA-02,₹2.55 lakh
2019,Maruti,Swift ,40.12k,Petrol,Auto,KA-02,₹5.27 lakh
2021,Renault,Kiger ,31.96k,Petrol,Manual,KA-41,₹6.40 lakh
2013,Hyundai,i10 ,71.41k,Petrol,Manual,KA-05,₹1.93 lakh
2023,Hyundai, I20,38.46k,Petrol,Auto,KA-04,₹10.25 lakh
2023,Maruti,Swift ,19.43k,Petrol,Auto,KA-09,₹7.09 lakh
2015,Hyundai,Elite i20,1.0l,Diesel,Manual,KA-51,₹4.46 lakh
2016,Hyundai,Grand i10,44.61k,Petrol,Manual,KA-01,₹3.49 lakh
2012,Hyundai,i10 ,67.40k,Petrol,Manual,KA-03,₹1.96 lakh
2017,Maruti,Baleno ,90.65k,Diesel,Manual,KA-19,₹4.20 lakh
2013,Hyundai,i20 ,95.58k,Diesel,Manual,KA-02,₹3.15 lakh
2017,Hyundai,i20 Active,51.70k,Petrol,Manual,KA-51,₹5.26 lakh
2020,Maruti,Swift ,30.41k,Petrol,Auto,KA-02,₹6.35 lakh
2019,Hyundai,Grand i10,41.13k,Petrol,Manual,KA-03,₹4.14 lakh
2019,Maruti,Baleno ,22.02k,Petrol,Auto,KA-01,₹5.94 lakh
2017,Volkswagen,Polo ,82.30k,Petrol,Manual,KA-03,₹4.63 lakh
2018,Maruti,Celerio X,36.98k,Petrol,Manual,KA-20,₹3.54 lakh
2023,Tata,TIAGO NRG,24.35k,Petrol,Auto,KA-33,₹6.05 lakh
2019,Maruti,Baleno ,1.1l,Petrol,Manual,KA-51,₹6.10 lakh
2019,Hyundai,Elite i20,64.31k,Petrol,Auto,KA-51,₹5.63 lakh
2023,Hyundai,GRAND I10,39.17k,Petrol,Manual,KA-05,₹5.59 lakh
2018,Maruti,Swift ,70.96k,Petrol,Manual,KA-04,₹5.57 lakh
2014,Maruti,Celerio ,50.31k,Petrol,Auto,KA-03,₹2.96 lakh
2016,Renault,Kwid ,51.14k,Petrol,Manual,KA-02,₹2.43 lakh
2015,Maruti,Alto K10,40.22k,Petrol,Auto,KA-53,₹2.60 lakh
2016,Renault,Kwid ,53.38k,Petrol,Manual,KA-50,₹2.70 lakh
2018,Renault,Kwid ,34.28k,Petrol,Auto,KA-41,₹3.15 lakh
2017,Renault,Kwid ,18.41k,Petrol,Auto,KA-51,₹3.04 lakh
2020,Hyundai,Elite i20,61.93k,Petrol,Manual,KA-52,₹5.10 lakh
2017,Hyundai,Elite i20,60.74k,Petrol,Manual,KA-19,₹4.81 lakh
2019,Hyundai,GRAND I10,30.97k,Petrol,Auto,KA-04,₹4.91 lakh
2015,Hyundai,Elite i20,77.90k,Petrol,Manual,KA-51,₹4.35 lakh
2018,Maruti,Wagon R,15.41k,Petrol,Auto,KA-05,₹3.88 lakh
2019,Hyundai,Grand i10,36.62k,Petrol,Manual,KA-05,₹3.97 lakh
2019,Hyundai, SANTRO,41.81k,Petrol,Manual,KA-53,₹3.28 lakh
2016,Renault,Kwid ,73.05k,Petrol,Manual,KA-51,₹2.06 lakh
2013,Chevrolet,Beat ,53.42k,Petrol,Manual,KA-53,₹1.72 lakh
